Matricula;Secretaria;Codigo Lotação;Nome Lotação;Código Cargo;Verbas Fixas;Cargo Comissão / Função Gratificada;Produtividade;Hora Extra;Sucumbência;Eventual;Adic.Crg./ Local/Jorn.;Salário Atraso;Prêmio Férias;Licença Prêmio;13º Salário;Total Bruto;Deduções;Bruto c/ Deduções
288470;Administração;A0005;COORD. SET. ADMINISTRATIVA              ;61011 - MONITOR INFANTO JUVENIL I;R$ 2.891,87;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.891,87;R$ 0,00;R$ 2.891,87
289701;Administração;A0135;DEPTO. CENTRAL DE COMPRAS               ;95370 - ECONOMISTA;R$ 9.178,77;R$ 1.282,23;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10.461,00;R$ 0,00;R$ 10.461,00
362506;Administração;A0001;GABINETE DO SECRETARIO                  ;25101 - OPERADOR FROTA DE AMBULANCIA;R$ 3.316,29;R$ 2.797,75;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.638,58;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7.752,62;R$ 0,00;R$ 7.752,62
366447;Administração;A0006;SETOR DE EXPEDIENTE                     ;95010 - AG. APOIO OPERACIONAL;R$ 1.951,77;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.951,77;R$ 0,00;R$ 1.951,77
367656;Administração;A0135;DEPTO. CENTRAL DE COMPRAS               ;95010 - AG. APOIO OPERACIONAL;R$ 1.984,36;R$ 7.639,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9.624,19;R$ 0,00;R$ 9.624,19
368105;Administração;A0005;COORD. SET. ADMINISTRATIVA              ;95020 - AG.APOIO ADMINISTRATIVO;R$ 2.646,42;R$ 5.251,36;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7.897,78;R$ 0,00;R$ 7.897,78
368733;Administração;A0145;SETOR DE ARMAZENAGEM E ESTOCAGEM        ;95010 - AG. APOIO OPERACIONAL;R$ 3.047,08;R$ 3.445,55;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 362,40;R$ 0,00;R$ 2.164,21;R$ 0,00;R$ 3.246,32;R$ 12.265,56;R$ 0,00;R$ 12.265,56
368903;Administração;A0001;GABINETE DO SECRETARIO                  ;95020 - AG.APOIO ADMINISTRATIVO;R$ 3.086,87;R$ 2.098,32;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5.185,19;R$ 0,00;R$ 5.185,19
369071;Administração;A0006;SETOR DE EXPEDIENTE                     ;95080 - AG.ADMINISTRATIVO;R$ 3.143,27;R$ 2.481,23;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5.624,50;R$ 0,00;R$ 5.624,50
370274;Administração;A0025;DEPTO. ADMINISTRATIVO                   ;95020 - AG.APOIO ADMINISTRATIVO;R$ 5.757,97;R$ 4.759,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10.517,80;R$ 0,00;R$ 10.517,80
